Chapter,Verse Range,Title,Total Words,Sheva Words,Percentage,Which Sheva words
1,1:1 - 1:31,Chapter 1,434,0,0.0,
2,2:1 - 2:25,Chapter 2,328,3,0.9146,And on the seventh (2:2); And on the seventh (2:2); the seventh (2:3)
3,3:1 - 3:24,Chapter 3,347,0,0.0,
4,4:1 - 4:26,Chapter 4,341,4,1.173,on him sevenfold (4:15); sevenfold (4:24); seventy (4:24); and sevenfold (4:24)
5,5:1 - 5:32,Chapter 5,365,7,1.9178,and seven (5:7); seventy (5:12); and seven (5:25); seven (5:26); and seven (5:31); seventy (5:31); and seven (5:31)
6,6:1 - 6:22,Chapter 6,305,0,0.0,
7,7:1 - 7:24,Chapter 7,332,7,2.1084,to thee by sevens (7:2); to thee by sevens (7:2); by sevens (7:3); by sevens (7:3); seven (7:4); And it came to pass after seven (7:10); the seventeenth (7:11)
8,8:1 - 8:22,Chapter 8,308,5,1.6234,in the seventh (8:4); (8:4); seven (8:10); seven (8:12); on the seven (8:14)
9,9:1 - 9:29,Chapter 9,353,0,0.0,
10,10:1 - 10:32,Chapter 10,287,0,0.0,
11,11:1 - 11:32,Chapter 11,392,2,0.5102,and seven (11:21); seventy (11:26)
12,12:1 - 12:20,Chapter 12,268,1,0.3731,was seventy (12:4)
13,13:1 - 13:18,Chapter 13,241,0,0.0,
14,14:1 - 14:24,Chapter 14,341,0,0.0,
15,15:1 - 15:21,Chapter 15,258,0,0.0,
16,16:1 - 16:16,Chapter 16,223,0,0.0,
17,17:1 - 17:27,Chapter 17,355,0,0.0,
18,18:1 - 18:33,Chapter 18,437,0,0.0,
19,19:1 - 19:38,Chapter 19,563,0,0.0,
20,20:1 - 20:18,Chapter 20,282,0,0.0,
21,21:1 - 21:34,Chapter 21,436,10,2.2936,of Beersheba (21:14); Now therefore swear (21:23); I will swear (21:24); seven (21:28); mean these seven (21:29); For these seven (21:30); Beersheba (21:31); because there they sware (21:31); at Beersheba (21:32); in Beersheba (21:33)
22,22:1 - 22:24,Chapter 22,367,3,0.8174,By myself have I sworn (22:16); at Beersheba (22:19); at Beersheba (22:19)
23,23:1 - 23:20,Chapter 23,275,1,0.3636,and seven (23:1)
24,24:1 - 24:67,Chapter 24,918,5,0.5447,And I will make thee swear (24:3); unto me and that sware (24:7); from this my oath (24:8); and sware (24:9); made me swear (24:37)
25,25:1 - 25:34,Chapter 25,405,4,0.9877,and fifteen (25:7); and seven (25:17); Swear (25:33); Swear (25:33)
