Chapter,Verse Range,Title,Total Words,Sheva Words,Percentage,Which Sheva words
1,1:1 - 1:17,Chapter 1,252,0,0.0,
2,2:1 - 2:16,Chapter 2,200,0,0.0,
3,3:1 - 3:17,Chapter 3,249,0,0.0,
4,4:1 - 4:35,Chapter 4,542,2,0.369,seven (4:6); it seven (4:17)
5,5:1 - 5:19,Chapter 5,322,2,0.6211,swear (5:4); with an oath (5:4)
6,6:1 - 6:30,Chapter 6,411,2,0.4866,concerning it and sweareth (6:3); Or all that about which he hath sworn (6:5)
7,7:1 - 7:38,Chapter 7,480,0,0.0,
8,8:1 - 8:36,Chapter 8,570,4,0.7018,seven (8:11); for seven (8:33); for seven (8:33); seven (8:35)
9,9:1 - 9:24,Chapter 9,318,0,0.0,
10,10:1 - 10:20,Chapter 10,327,0,0.0,
11,11:1 - 11:47,Chapter 11,593,0,0.0,
12,12:1 - 12:8,Chapter 12,117,2,1.7094,seven (12:2); two weeks (12:5)
13,13:1 - 13:59,Chapter 13,893,14,1.5677,seven (13:4); on him the seventh (13:5); him up seven (13:5); the seventh (13:6); him up seven (13:21); him up seven (13:26); upon him the seventh (13:27); seven (13:31); And in the seventh (13:32); seven (13:33); And in the seventh (13:34); seven (13:50); on the seventh (13:51); it up seven (13:54)
14,14:1 - 14:57,Chapter 14,818,8,0.978,seven (14:7); seven (14:8); But it shall be on the seventh (14:9); seven (14:16); seven (14:27); seven (14:38); the seventh (14:39); seven (14:51)
15,15:1 - 15:33,Chapter 15,456,4,0.8772,to himself seven (15:13); seven (15:19); seven (15:24); to herself seven (15:28)
16,16:1 - 16:34,Chapter 16,552,3,0.5435,seven (16:14); seven (16:19); unto you that in the seventh (16:29)
17,17:1 - 17:16,Chapter 17,274,0,0.0,
18,18:1 - 18:30,Chapter 18,344,0,0.0,
19,19:1 - 19:37,Chapter 19,440,1,0.2273,And ye shall not swear (19:12)
20,20:1 - 20:27,Chapter 20,428,0,0.0,
21,21:1 - 21:24,Chapter 21,305,0,0.0,
22,22:1 - 22:33,Chapter 22,439,1,0.2278,then it shall be seven (22:27)
23,23:1 - 23:44,Chapter 23,593,18,3.0354,but the seventh (23:3); seven (23:6); seven (23:8); in the seventh (23:8); seven (23:15); after the seventh (23:16); seven (23:18); In the seventh (23:24); day of this seventh (23:27); of this seventh (23:34); for seven (23:34); Seven (23:36); of the seventh (23:39); seven (23:39); seven (23:40); seven (23:41); it in the seventh (23:41); seven (23:42)
24,24:1 - 24:23,Chapter 24,277,0,0.0,
25,25:1 - 25:55,Chapter 25,710,7,0.9859,But in the seventh (25:4); of the seven (25:8); of the seven (25:8); of the seven (25:8); of the seven (25:8); day of the seventh (25:9); the seventh (25:20)
26,26:1 - 26:46,Chapter 26,582,4,0.6873,you seven times (26:18); seven times (26:21); seven times (26:24); you seven times (26:28)
27,27:1 - 27:34,Chapter 27,458,0,0.0,
