record id,title,number of Hebrew words,number of English words,number of Tokens (Hebrew ST),number of Tokens (BERiT),number of Tokens (English)
agentic_berit_001,"Genesis 1:1, 1:2",19,40,86,82,51
agentic_berit_002,"Genesis 1:2.8, 1:3, 1:4",23,57,109,110,76
agentic_berit_003,"Genesis 1:4.5, 1:5, 1:6.3",21,61,96,94,86
agentic_berit_004,"Genesis 1:5.12, 1:6, 1:7.8",31,72,136,125,96
agentic_berit_005,"Genesis 1:7.3, 1:8.6",9,44,54,53,58
agentic_berit_006,"Genesis 1:8.3, 1:9, 1:10.1",15,65,77,73,92
agentic_berit_007,"Genesis 1:9.9, 1:10, 1:11.4",25,83,114,110,116
agentic_berit_008,"Genesis 1:11, 1:12.3",20,71,87,76,91
agentic_berit_009,"Genesis 1:11.16, 1:12, 1:13.2",33,82,154,132,104
agentic_berit_010,"Genesis 1:12.14, 1:13, 1:14.12",31,82,145,124,98
agentic_berit_011,"Genesis 1:14.8, 1:15, 1:16.1",16,83,82,73,101
agentic_berit_012,"Genesis 1:15.5, 1:16.14",19,48,102,93,59
agentic_berit_013,"Genesis 1:16.1, 1:17, 1:18.5",13,65,66,63,81
agentic_berit_014,"Genesis 1:18.2, 1:19, 1:20.4",11,63,56,55,78
agentic_berit_015,"Genesis 1:20, 1:21.4",17,64,87,83,83
agentic_berit_016,Genesis 1:21.18,18,35,85,79,48
agentic_berit_017,"Genesis 1:21.16, 1:22, 1:23.2",30,69,145,139,96
agentic_berit_018,"Genesis 1:22.11, 1:23, 1:24",28,65,136,130,89
agentic_berit_019,"Genesis 1:24.9, 1:25.13",22,67,106,104,85
agentic_berit_020,"Genesis 1:25.9, 1:26.12",21,50,107,106,66
agentic_berit_021,"Genesis 1:26.9, 1:27.1",10,70,49,49,90
agentic_berit_022,"Genesis 1:27.5, 1:28.12",17,100,79,83,130
agentic_berit_023,"Genesis 1:28.9, 1:29.6",15,80,69,74,108
agentic_berit_024,"Genesis 1:29.3, 1:30.1",4,75,23,23,92
