record id,title,number of Hebrew words,number of English words,number of Tokens (Hebrew ST),number of Tokens (BERiT),number of Tokens (English)
agentic_english_st_001,"Genesis 1:1, 1:2, 1:3, 1:4, 1:5, 1:6, 1:7, 1:8.1",82,149,369,343,199
agentic_english_st_002,"Genesis 1:8, 1:9, 1:10, 1:11, 1:12, 1:13",69,147,322,287,194
agentic_english_st_003,"Genesis 1:13, 1:14, 1:15, 1:16, 1:17, 1:18, 1:19",66,144,342,307,174
agentic_english_st_004,"Genesis 1:19, 1:20, 1:21, 1:22, 1:23, 1:24",67,140,322,301,183
agentic_english_st_005,"Genesis 1:25, 1:26, 1:27, 1:28",62,150,309,293,194
agentic_english_st_006,"Genesis 1:29, 1:30, 1:31",46,100,230,208,124
agentic_english_st_007,"Genesis 1:31, 2:1, 2:2, 2:3, 2:4.14",53,107,263,234,128
agentic_english_st_008,"Genesis 2:4, 2:5, 2:6, 2:7, 2:8",61,137,282,261,176
agentic_english_st_009,"Genesis 2:8, 2:9, 2:10, 2:11, 2:12, 2:13, 2:14.14",75,153,328,303,199
agentic_english_st_010,"Genesis 2:13, 2:14, 2:15, 2:16, 2:17, 2:18",60,129,269,238,174
agentic_english_st_011,"Genesis 2:18, 2:19, 2:20, 2:21, 2:22",67,148,325,286,177
agentic_english_st_012,"Genesis 2:23, 2:24, 2:25, 3:1, 3:2, 3:3",69,157,309,269,208
agentic_english_st_013,"Genesis 3:4, 3:5, 3:6, 3:7, 3:8",68,158,308,292,200
agentic_english_st_014,"Genesis 3:9, 3:10, 3:11, 3:12, 3:13, 3:14",69,158,316,277,223
agentic_english_st_015,"Genesis 3:15, 3:16, 3:17",50,118,229,202,142
agentic_english_st_016,"Genesis 3:17.34, 3:18, 3:19, 3:20, 3:21, 3:22",84,156,346,313,202
agentic_english_st_017,"Genesis 3:23, 3:24, 4:1, 4:2, 4:3",54,125,260,235,158
agentic_english_st_018,"Genesis 4:3, 4:4, 4:5, 4:6, 4:7, 4:8, 4:9",74,157,336,316,206
agentic_english_st_019,"Genesis 4:9, 4:10, 4:11, 4:12, 4:13, 4:14",64,149,276,251,191
agentic_english_st_020,"Genesis 4:15, 4:16, 4:17, 4:18, 4:19, 4:20",68,143,310,294,210
agentic_english_st_021,"Genesis 4:20, 4:21, 4:22, 4:23, 4:24, 4:25",72,141,302,283,194
agentic_english_st_022,"Genesis 4:26, 5:1, 5:2, 5:3, 5:4, 5:5, 5:6",73,147,322,281,184
agentic_english_st_023,"Genesis 5:5, 5:6, 5:7, 5:8, 5:9, 5:10, 5:11, 5:12, 5:13, 5:14",95,149,444,380,189
agentic_english_st_024,"Genesis 5:14, 5:15, 5:16, 5:17, 5:18, 5:19, 5:20",68,101,321,285,127
agentic_english_st_025,"Genesis 5:19, 5:20, 5:21, 5:22, 5:23, 5:24, 5:25, 5:26, 5:27",90,134,424,373,174
agentic_english_st_026,"Genesis 5:27, 5:28, 5:29, 5:30, 5:31, 5:32",63,106,294,258,144
agentic_english_st_027,"Genesis 5:32, 6:1, 6:2, 6:3, 6:4",67,127,296,268,169
agentic_english_st_028,"Genesis 6:5, 6:6, 6:7, 6:8, 6:9, 6:10",61,120,278,243,167
agentic_english_st_029,"Genesis 6:11, 6:12, 6:13, 6:14, 6:15, 6:16",72,152,330,296,195
agentic_english_st_030,"Genesis 6:17, 6:18, 6:19",37,97,187,155,114
agentic_english_st_031,"Genesis 6:19, 6:20, 6:21, 6:22",44,110,199,160,134
agentic_english_st_032,"Genesis 6:22.11, 7:1, 7:2, 7:3, 7:4, 7:5, 7:6",80,152,356,291,189
agentic_english_st_033,"Genesis 7:5, 7:6, 7:7, 7:8, 7:9, 7:10, 7:11",69,151,338,289,186
agentic_english_st_034,"Genesis 7:12, 7:13, 7:14, 7:15, 7:16",56,122,282,252,159
agentic_english_st_035,"Genesis 7:17, 7:18, 7:19, 7:20, 7:21, 7:22",61,142,299,263,170
agentic_english_st_036,"Genesis 7:23, 7:24",25,57,126,114,69
agentic_english_st_037,"Genesis 7:24.13, 8:1, 8:2, 8:3, 8:4, 8:5",64,135,304,264,163
agentic_english_st_038,"Genesis 8:6, 8:7, 8:8, 8:9, 8:10, 8:11, 8:12",79,188,377,329,215
agentic_english_st_039,"Genesis 8:13, 8:14, 8:15, 8:16, 8:17, 8:18",58,145,289,247,183
agentic_english_st_040,"Genesis 8:18, 8:19, 8:20, 8:21, 8:22",67,143,314,272,185
agentic_english_st_041,"Genesis 8:22, 9:1, 9:2, 9:3, 9:4, 9:5",71,153,321,299,194
agentic_english_st_042,"Genesis 9:6, 9:7, 9:8, 9:9, 9:10, 9:11",59,145,277,258,184
agentic_english_st_043,"Genesis 9:12, 9:13, 9:14, 9:15, 9:16",61,143,299,259,169
agentic_english_st_044,Genesis 9:17,13,27,63,52,36
agentic_english_st_045,"Genesis 9:18, 9:19, 9:20, 9:21, 9:22, 9:23, 9:24, 9:25",73,171,329,305,212
agentic_english_st_046,"Genesis 9:26, 9:27, 9:28, 9:29, 10:1, 10:2, 10:3, 10:4, 10:5",75,141,329,304,215
agentic_english_st_047,"Genesis 10:5, 10:6, 10:7, 10:8, 10:9, 10:10, 10:11, 10:12",71,139,329,296,215
agentic_english_st_048,"Genesis 10:11, 10:12, 10:13, 10:14, 10:15, 10:16, 10:17, 10:18, 10:19, 10:20.15",68,128,410,373,213
agentic_english_st_049,"Genesis 10:20.15, 10:21, 10:22, 10:23, 10:24, 10:25, 10:26, 10:27, 10:28, 10:29",65,142,343,334,224
agentic_english_st_050,"Genesis 10:30, 10:31, 10:32, 11:1, 11:2, 11:3",56,130,261,237,160
agentic_english_st_051,"Genesis 11:3, 11:4, 11:5, 11:6, 11:7",67,149,291,260,187
agentic_english_st_052,"Genesis 11:7, 11:8, 11:9, 11:10.6",46,79,196,171,104
agentic_english_st_053,"Genesis 11:10, 11:11, 11:12, 11:13, 11:14, 11:15, 11:16, 11:17",77,142,375,315,186
agentic_english_st_054,"Genesis 11:18, 11:19, 11:20, 11:21, 11:22, 11:23, 11:24, 11:25, 11:26, 11:27.7",88,155,443,395,198
