record id,title,number of Hebrew words,number of English words,number of Tokens (Hebrew ST),number of Tokens (BERiT),number of Tokens (English)
agentic_hebrew_st_001,"Genesis 1:1, 1:2, 1:3, 1:4, 1:5, 1:6, 1:7.4",62,139,280,269,184
agentic_hebrew_st_002,"Genesis 1:6.3, 1:7, 1:8, 1:9, 1:10, 1:11.4",54,150,251,235,202
agentic_hebrew_st_003,"Genesis 1:10.3, 1:11, 1:12, 1:13, 1:14.14",54,144,248,212,184
agentic_hebrew_st_004,"Genesis 1:14.2, 1:15, 1:16, 1:17, 1:18",42,122,223,206,148
agentic_hebrew_st_005,"Genesis 1:17.6, 1:18, 1:19, 1:20, 1:21, 1:22.9",64,137,304,284,178
agentic_hebrew_st_006,"Genesis 1:21.16, 1:22, 1:23, 1:24, 1:25, 1:26.1",60,150,293,281,199
agentic_hebrew_st_007,"Genesis 1:25.12, 1:26, 1:27, 1:28, 1:29.6",66,186,326,312,240
agentic_hebrew_st_008,"Genesis 1:28.15, 1:29, 1:30, 1:31, 2:1, 2:2.1",66,185,324,307,229
agentic_hebrew_st_009,"Genesis 1:31.5, 2:1, 2:2, 2:3, 2:4, 2:5.1",48,158,238,210,192
agentic_hebrew_st_010,"Genesis 2:4.6, 2:5, 2:6, 2:7, 2:8, 2:9.5",61,179,287,265,228
agentic_hebrew_st_011,"Genesis 2:8.3, 2:9, 2:10, 2:11, 2:12, 2:13, 2:14.2",58,161,254,237,211
agentic_hebrew_st_012,"Genesis 2:12.5, 2:13, 2:14, 2:15, 2:16, 2:17, 2:18.8",63,145,277,249,195
agentic_hebrew_st_013,"Genesis 2:17.8, 2:18, 2:19, 2:20, 2:21.9",61,158,278,238,186
agentic_hebrew_st_014,"Genesis 2:20.1, 2:21, 2:22, 2:23, 2:24, 2:25",54,150,260,237,179
agentic_hebrew_st_015,"Genesis 2:24.4, 2:25, 3:1, 3:2, 3:3, 3:4, 3:5.5",60,168,273,237,221
agentic_hebrew_st_016,"Genesis 3:3.1, 3:4, 3:5, 3:6, 3:7, 3:8.4",56,189,259,245,240
agentic_hebrew_st_017,"Genesis 3:7.5, 3:8, 3:9, 3:10, 3:11, 3:12.6",56,169,254,238,231
agentic_hebrew_st_018,"Genesis 3:11.8, 3:12, 3:13, 3:14, 3:15.14",63,146,268,225,197
agentic_hebrew_st_019,"Genesis 3:14.19, 3:15, 3:16, 3:17, 3:18",76,181,343,299,221
agentic_hebrew_st_020,"Genesis 3:17.16, 3:18, 3:19, 3:20, 3:21, 3:22.2",58,177,247,222,226
agentic_hebrew_st_021,"Genesis 3:22.5, 3:23, 3:24, 4:1, 4:2.7",46,144,225,209,188
agentic_hebrew_st_022,"Genesis 4:1.6, 4:2, 4:3, 4:4, 4:5, 4:6, 4:7.9",63,170,284,266,225
agentic_hebrew_st_023,"Genesis 4:6.3, 4:7, 4:8, 4:9, 4:10, 4:11",60,150,270,249,199
agentic_hebrew_st_024,"Genesis 4:10.8, 4:11, 4:12, 4:13, 4:14, 4:15, 4:16.1",67,191,291,269,250
agentic_hebrew_st_025,"Genesis 4:15.4, 4:16, 4:17, 4:18, 4:19, 4:20.3",51,143,235,227,210
agentic_hebrew_st_026,"Genesis 4:19, 4:20, 4:21, 4:22, 4:23, 4:24",63,129,270,258,182
agentic_hebrew_st_027,"Genesis 4:23.1, 4:24, 4:25, 4:26, 5:1, 5:2",60,152,247,222,202
agentic_hebrew_st_028,"Genesis 5:1.9, 5:2, 5:3, 5:4, 5:5, 5:6, 5:7.7",65,141,296,256,173
