record id,title,number of Hebrew words,number of English words,number of Tokens (Hebrew ST),number of Tokens (BERiT),number of Tokens (English)
pericope_01,"Creation Narrative, Precondition State",23,53,110,107,66
pericope_02,"Creation Narrative, Day 1",28,49,129,124,73
pericope_03,"Creation Narrative, Day 1 & 4",89,182,443,406,232
pericope_04,"Creation Narrative, Day 2",35,67,158,141,88
pericope_05,"Creation Narrative, Day 2 and 5",85,165,393,361,217
pericope_06,"Creation Narrative, Day 3",60,130,279,246,170
pericope_07,"Creation Narrative, Day 3 and 6",180,411,873,799,523
pericope_08,"Creation Narrative, Day 4",61,133,316,284,161
pericope_09,"Creation Narrative, Day 5",50,98,237,222,131
pericope_10,"Creation Narrative, Day 6",120,281,596,555,355
pericope_11,"Creation Narrative, Day 6, Part 1",26,67,135,130,85
pericope_12,"Creation Narrative, Day 6, Part 2",48,114,235,221,150
pericope_13,"Creation Narrative, Day 6, Part 3",46,100,230,208,124
pericope_14,"Creation Narrative, Day 7",31,68,155,133,80
pericope_15,"Eden Narrative, Part 1, Humanity Is Created and Placed in the Garden",156,342,696,630,436
pericope_16,"Eden Narrative, Part 2, Man and Woman Created and Unified",97,218,467,411,265
pericope_17,"Eden Narrative, Part 3, Dialogue Between the Snake and the Woman",65,143,290,257,191
pericope_18,"Eden Narrative, Part 4 Pivot, The Woman and Man Eat from the Forbidden Tree",39,97,180,169,119
pericope_19,"Eden Narrative, Part 5, Dialogue Between God and the Humans",66,151,304,279,216
pericope_20,"Eden Narrative, Part 6, Consequences For the Snake, Man, and Woman Divided",110,246,482,426,303
pericope_21,"Eden Narrative, Part 7, Humanity is Banished from the Garden",65,125,277,254,163
pericope_22,"Cain and Seth, Conceived seed contrasted with appointed Sons",69,139,306,287,199
pericope_23,"Cain and Seth, Cain and Abel Story",170,400,770,718,523
pericope_24,"Cain and Seth, Lamech!",90,180,401,383,262
pericope_25,"Cain and Seth, Appointed Son Seth",31,60,122,109,79
pericope_26,"Cain and Seth, Adam-to-Noah Genealogy",363,592,1681,1464,768
pericope_27,"Cain and Seth, Adam-to-Noah Genealogy Pattern Breakers",90,172,415,360,219
pericope_28,"Cosmic Collapse and Renewal, Part 1, 6:1-4: The Heavenly Rebellion (Take 1)",58,110,251,225,143
pericope_29,"Cosmic Collapse and Renewal, Part 2, 6:5-12: The Earthly Rebellion (Take 2)",77,154,365,322,213
pericope_30,"Cosmic Collapse and Renewal, Part 3, 6:13-22: Divine Speech of Elohim: 1st Warning of Flood (Take 1)",126,295,571,491,359
pericope_31,"Cosmic Collapse and Renewal, Part 4, 7:1-5: Divine Speech of Yahweh: 2nd Warning of Flood (Take 2)",63,126,291,235,156
pericope_32,"Cosmic Collapse and Renewal, Part 5, 7:6-10: Flood Begins and Noah Enters the Ark (Take 1)",46,101,228,197,122
pericope_33,"Cosmic Collapse and Renewal, Part 6, 7:11-16: Flood Begins and Noah Enters the Ark (Take 2)",74,161,370,324,207
pericope_34,"Cosmic Collapse and Renewal, Part 7, 7:17-24: The Flood Overwhelms the Land",86,199,423,375,237
pericope_35,"Cosmic Collapse and Renewal, Part 8, 8:1: The Pivot: God Remembers Noah",15,34,79,78,46
pericope_36,"Cosmic Collapse and Renewal, Part 9, 8:2-5: The Flood Recedes from the Land",43,88,197,162,104
pericope_37,"Cosmic Collapse and Renewal, Part 10, 8:6-14: Noah Sends Out Birds To See if the Waters Have Dried Up",107,252,500,431,293
pericope_38,"Cosmic Collapse and Renewal, Part 11, 8:15-19: Divine Speech: Noah to Leave the Ark",39,104,222,191,135
pericope_39,"Cosmic Collapse and Renewal, Part 12, 8:20-22: Noah’s Sacrifice Deals with the Earthly Rebellion",53,104,228,198,135
pericope_40,"Cosmic Collapse and Renewal, Part 13, 9:1-7: Divine Speech: Blessing and Provision of Food",75,172,340,320,218
pericope_41,"Cosmic Collapse and Renewal, Part 14, 9:8-17: Divine Speech: The Covenant for the Preservation of Life",115,266,556,488,321
pericope_42,"Cosmic Collapse and Renewal, Next Generation, 9:18-27: The Rebellion of Ham and Noah’s Blessing and Curse",108,226,477,436,297
pericope_43,"Scattering, Sons born bookends",23,53,103,93,71
pericope_44,"Scattering, Sons born to Japheth",40,86,181,173,130
pericope_45,"Scattering, Sons born to Ham",113,236,608,556,379
pericope_46,"Scattering, Sons born to Shem",84,195,426,405,289
pericope_47,"Scattering, Founding of Babylon",106,231,465,415,290
pericope_48,"Scattering, Shem-to-Abraham Genealogy",154,290,759,655,373
pericope_49,"Scattering, The Two-Stage Journey from Babylon to Canaan, Part 1 Terakh’s Journey",74,146,335,301,217
pericope_50,"Scattering, The Two-Stage Journey from Babylon to Canaan, Part 2 Avram’s Journey",63,155,307,285,193
