record id,title,number of Hebrew words,number of English words,number of Tokens (Hebrew ST),number of Tokens (BERiT),number of Tokens (English)
verse_01_01,Genesis 1:1,7,10,31,27,16
verse_01_02,Genesis 1:2,12,30,57,57,37
verse_01_03,Genesis 1:3,5,11,27,29,19
verse_01_04,Genesis 1:4,10,16,50,48,24
verse_01_05,Genesis 1:5,13,22,56,51,34
verse_01_06,Genesis 1:6,11,23,47,43,32
verse_01_07,Genesis 1:7,15,27,70,59,34
verse_01_08,Genesis 1:8,9,17,45,43,26
verse_01_09,Genesis 1:9,11,21,57,56,30
verse_01_10,Genesis 1:10,12,27,54,48,40
verse_01_11,Genesis 1:11,17,35,75,65,50
verse_01_12,Genesis 1:12,15,36,73,60,43
verse_01_13,Genesis 1:13,5,11,28,25,15
verse_01_14,Genesis 1:14,16,35,79,69,44
verse_01_15,Genesis 1:15,7,22,42,37,27
verse_01_16,Genesis 1:16,15,26,85,77,34
verse_01_17,Genesis 1:17,7,16,37,34,21
verse_01_18,Genesis 1:18,11,23,55,52,30
verse_01_19,Genesis 1:19,5,11,28,25,15
verse_01_20,Genesis 1:20,13,29,62,58,37
verse_01_21,Genesis 1:21,20,35,97,90,48
verse_01_22,Genesis 1:22,12,23,56,54,37
verse_01_23,Genesis 1:23,5,11,28,26,15
verse_01_24,Genesis 1:24,12,31,61,58,41
verse_01_25,Genesis 1:25,14,36,76,74,46
verse_01_26,Genesis 1:26,16,14,90,82,22
verse_01_27,Genesis 1:27,13,56,55,50,70
verse_01_28,Genesis 1:28,19,44,94,93,62
verse_01_29,Genesis 1:29,20,36,95,88,48
verse_01_30,Genesis 1:30,15,39,80,67,46
verse_01_31,Genesis 1:31,11,25,59,57,34
verse_02_01,Genesis 2:1,4,13,26,27,17
verse_02_02,Genesis 2:2,13,28,65,51,32
verse_02_03,Genesis 2:3,14,27,68,59,35
verse_02_04,Genesis 2:4,11,25,53,48,35
verse_02_05,Genesis 2:5,21,40,87,76,49
verse_02_06,Genesis 2:6,5,19,37,33,24
verse_02_07,Genesis 2:7,14,28,67,65,38
verse_02_08,Genesis 2:8,10,25,46,47,38
verse_02_09,Genesis 2:9,17,42,76,72,54
verse_02_10,Genesis 2:10,10,20,49,41,25
verse_02_11,Genesis 2:11,10,19,45,40,27
verse_02_12,Genesis 2:12,8,16,33,32,23
verse_02_13,Genesis 2:13,8,17,39,37,23
verse_02_14,Genesis 2:14,12,22,52,46,33
verse_02_15,Genesis 2:15,8,22,47,46,30
verse_02_16,Genesis 2:16,9,17,43,35,28
verse_02_17,Genesis 2:17,13,30,48,38,35
verse_02_18,Genesis 2:18,10,21,50,46,35
verse_02_19,Genesis 2:19,21,47,103,89,55
verse_02_20,Genesis 2:20,13,31,65,49,35
verse_02_21,Genesis 2:21,13,29,61,60,34
verse_02_22,Genesis 2:22,10,20,54,50,26
verse_02_23,Genesis 2:23,14,28,61,52,40
verse_02_24,Genesis 2:24,9,25,50,45,32
verse_02_25,Genesis 2:25,7,17,37,34,22
verse_03_01,Genesis 3:1,20,37,80,68,58
verse_03_02,Genesis 3:2,6,19,33,28,24
verse_03_03,Genesis 3:3,13,31,58,52,42
verse_03_04,Genesis 3:4,5,12,30,26,17
verse_03_05,Genesis 3:5,14,27,62,59,38
verse_03_06,Genesis 3:6,19,38,89,83,44
verse_03_07,Genesis 3:7,13,42,58,56,57
verse_03_08,Genesis 3:8,17,39,77,76,52
verse_03_09,Genesis 3:9,7,14,35,34,26
verse_03_10,Genesis 3:10,8,26,43,42,36
verse_03_11,Genesis 3:11,13,26,58,48,40
verse_03_12,Genesis 3:12,10,22,47,40,30
verse_03_13,Genesis 3:13,11,24,54,49,42
verse_03_14,Genesis 3:14,20,46,89,74,59
verse_03_15,Genesis 3:15,16,28,66,55,34
verse_03_16,Genesis 3:16,13,35,70,67,45
verse_03_17,Genesis 3:17,21,55,97,84,67
verse_03_18,Genesis 3:18,7,17,34,31,24
verse_03_19,Genesis 3:19,14,32,62,54,40
verse_03_20,Genesis 3:20,10,18,37,33,26
verse_03_21,Genesis 3:21,9,15,41,42,22
verse_03_22,Genesis 3:22,23,40,85,79,57
verse_03_23,Genesis 3:23,9,18,47,41,25
verse_03_24,Genesis 3:24,14,34,75,67,41
verse_04_01,Genesis 4:1,11,28,55,55,42
verse_04_02,Genesis 4:2,11,24,52,47,31
verse_04_03,Genesis 4:3,9,21,39,33,27
verse_04_04,Genesis 4:4,10,25,57,55,34
verse_04_05,Genesis 4:5,9,21,44,45,28
verse_04_06,Genesis 4:6,9,17,38,35,28
verse_04_07,Genesis 4:7,13,34,61,57,47
verse_04_08,Genesis 4:8,12,29,59,58,35
verse_04_09,Genesis 4:9,12,10,50,45,19
verse_04_10,Genesis 4:10,9,37,40,34,50
verse_04_11,Genesis 4:11,11,23,53,47,30
verse_04_12,Genesis 4:12,10,25,44,40,33
verse_04_13,Genesis 4:13,6,14,30,30,19
verse_04_14,Genesis 4:14,16,40,69,65,50
verse_04_15,Genesis 4:15,15,32,70,65,48
verse_04_16,Genesis 4:16,7,20,39,37,32
verse_04_17,Genesis 4:17,15,33,63,60,42
verse_04_18,Genesis 4:18,12,18,72,69,42
verse_04_19,Genesis 4:19,10,21,40,40,31
verse_04_20,Genesis 4:20,9,19,36,33,25
verse_04_21,Genesis 4:21,9,19,38,38,27
verse_04_22,Genesis 4:22,12,24,62,56,41
verse_04_23,Genesis 4:23,17,35,72,70,50
verse_04_24,Genesis 4:24,6,11,32,31,18
verse_04_25,Genesis 4:25,19,33,72,65,43
