Verse Range,URL
1:1-2:3,https://bibleproject-genesis-one.web.app/
2:3-17,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/humanity-is-created-and-placed-in-the-garden
2:18-25,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/lone-human-is-now-two
2:25-3:7,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/the-snake-and-the-woman
3:8-13,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/trial-in-the-garden
3:14-19,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/gods-lament
3:20-24,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/conclusion-of-the-eden-narrative
4:1-26,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/the-cain-and-abel-story
5:1-32,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/ten-generations-from-adam-to-noah
6:1-12,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/cosmic-rebellion-in-the-time-of-noah
6:13-22,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/divine-speech-1
7:1-5,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/divine-speech-2
7:6-10,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/the-flood-begins-panel-1
7:11-16,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/the-flood-begins-panel-2
7:17-24,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/the-flood-overwhelms-the-land
8:1-1,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/the-pivot-god-remembers-noah
8:2-5,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/the-flood-waters-recede-from-the-land
8:6-14,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/noah-the-birds-and-the-drying-land
8:15-19,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/divine-speech-noah-summoned-to-leave-the-ark
8:20-22,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/noahs-sacrifice-and-gods-response
9:1-7,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/god-provides-food-and-prohibits-bloodshed
9:8-17,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/gods-covenant-with-noah-and-all-creation
9:18-29,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/noahs-garden-and-a-family-failure
10:1-32,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/the-division-of-noahs-sons
11:1-9,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/the-founding-of-babylon
11:10-26,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/from-shem-to-abram
11:27-12:5,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/two-stage-journey-from-babylon-canaan
12:6-9,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/abrams-sojourn
12:10-20,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-12-10-20-alt
13:1-4,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-13-1-4
13:5-11,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-13-5-11
13:12-18,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-13-12-18
14:1-24,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-14-1-24
15:1-21,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-15-1-21
16:1-16,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-16-1-16
17:1-27,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-17-1-27
18:1-15,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-18-1-15
18:16-33,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-18-16-33
19:1-14,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-19-1-14
19:15-29,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-19-15-29
19:30-38,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-19-30-38
20:1-18,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-20-1-18
21:1-21,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-21-1-21
21:22-34,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-21-22-34
22:1-19,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-22-1-19
22:20-24,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-22-20-24
23:1-20,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-23-1-20
24:1-28,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-24-1-28
24:29-51,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-24-29-51
24:52-67,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-24-52-67
25:1-18,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-25-1-18
25:19-26,https://d3kfvpfexuy5fk.cloudfront.net/visuals/literary-design-units/genesis-25-19-26
