step,description,value
token_0,Token: <s>,Contribution to sum
token_0_dim_0,Dimension 0,0.10553823411464691
token_0_dim_1,Dimension 1,0.05491437762975693
token_0_dim_2,Dimension 2,-0.053873442113399506
token_0_dim_3,Dimension 3,-0.03337886184453964
token_0_dim_4,Dimension 4,-0.0018728903960436583
token_0_dim_5,Dimension 5,-0.1635315865278244
token_0_dim_6,Dimension 6,-0.04677995666861534
token_0_dim_7,Dimension 7,-0.08165021985769272
token_0_dim_8,Dimension 8,-0.003810289315879345
token_0_dim_9,Dimension 9,-0.08676671981811523
token_0_dim_10,Dimension 10,0.06520913541316986
token_0_dim_11,Dimension 11,-0.04552333801984787
token_0_dim_12,Dimension 12,0.1302718073129654
token_0_dim_13,Dimension 13,0.047222286462783813
token_0_dim_14,Dimension 14,0.11859476566314697
token_0_dim_15,Dimension 15,0.045116767287254333
token_0_dim_16,Dimension 16,-0.09660570323467255
token_0_dim_17,Dimension 17,-0.06347433477640152
token_0_dim_18,Dimension 18,-0.1926782727241516
token_0_dim_19,Dimension 19,0.07990512251853943
token_0_dim_20,Dimension 20,-0.09750889986753464
token_0_dim_21,Dimension 21,0.016901399940252304
token_0_dim_22,Dimension 22,0.08972271531820297
token_0_dim_23,Dimension 23,-0.08348794281482697
token_0_dim_24,Dimension 24,0.1469905525445938
token_0_dim_25,Dimension 25,0.03844360262155533
token_0_dim_26,Dimension 26,-0.21128609776496887
token_0_dim_27,Dimension 27,0.07182712107896805
token_0_dim_28,Dimension 28,-0.16640177369117737
token_0_dim_29,Dimension 29,0.04868117347359657
token_0_dim_30,Dimension 30,-0.09877881407737732
token_0_dim_31,Dimension 31,-0.13705198466777802
token_0_dim_32,Dimension 32,0.05966152623295784
token_0_dim_33,Dimension 33,-0.15855951607227325
token_0_dim_34,Dimension 34,6.035515070834663e-06
token_0_dim_35,Dimension 35,0.0655241310596466
token_0_dim_36,Dimension 36,0.05552847683429718
token_0_dim_37,Dimension 37,-0.023275651037693024
token_0_dim_38,Dimension 38,-0.03572346270084381
token_0_dim_39,Dimension 39,-0.03654053062200546
token_0_dim_40,Dimension 40,0.1331639289855957
token_0_dim_41,Dimension 41,0.13533473014831543
token_0_dim_42,Dimension 42,-0.0849800854921341
token_0_dim_43,Dimension 43,-0.04354265332221985
token_0_dim_44,Dimension 44,-0.0018257778137922287
token_0_dim_45,Dimension 45,-0.006259148474782705
token_0_dim_46,Dimension 46,-0.020303823053836823
token_0_dim_47,Dimension 47,0.03860536962747574
token_0_dim_48,Dimension 48,0.15223020315170288
token_0_dim_49,Dimension 49,-0.06335477530956268
token_0_dim_50,Dimension 50,-0.022638525813817978
token_0_dim_51,Dimension 51,0.014408014714717865
token_0_dim_52,Dimension 52,0.07377282530069351
token_0_dim_53,Dimension 53,-0.05752483010292053
token_0_dim_54,Dimension 54,0.13613034784793854
token_0_dim_55,Dimension 55,0.2637465000152588
token_0_dim_56,Dimension 56,-0.015151428990066051
token_0_dim_57,Dimension 57,-0.028677409514784813
token_0_dim_58,Dimension 58,-0.17472685873508453
token_0_dim_59,Dimension 59,-0.07251545786857605
token_0_dim_60,Dimension 60,-0.06896178424358368
token_0_dim_61,Dimension 61,0.052331507205963135
token_0_dim_62,Dimension 62,0.04418177157640457
token_0_dim_63,Dimension 63,0.03890587016940117
token_0_dim_64,Dimension 64,0.04778198152780533
token_0_dim_65,Dimension 65,-0.019434809684753418
token_0_dim_66,Dimension 66,-0.126866415143013
token_0_dim_67,Dimension 67,-0.0265518706291914
token_0_dim_68,Dimension 68,-0.13944561779499054
token_0_dim_69,Dimension 69,0.0033230986446142197
token_0_dim_70,Dimension 70,-0.01550121046602726
token_0_dim_71,Dimension 71,-0.03440459072589874
token_0_dim_72,Dimension 72,0.09027542173862457
token_0_dim_73,Dimension 73,0.07920585572719574
token_0_dim_74,Dimension 74,0.07280062884092331
token_0_dim_75,Dimension 75,-0.05244225636124611
token_0_dim_76,Dimension 76,0.15139810740947723
token_0_dim_77,Dimension 77,0.17963051795959473
token_0_dim_78,Dimension 78,0.05934947729110718
token_0_dim_79,Dimension 79,0.08049227297306061
token_0_dim_80,Dimension 80,0.2231532335281372
token_0_dim_81,Dimension 81,-0.12901689112186432
token_0_dim_82,Dimension 82,-0.059839725494384766
token_0_dim_83,Dimension 83,0.1323549896478653
token_0_dim_84,Dimension 84,-0.11519457399845123
token_0_dim_85,Dimension 85,0.05465507507324219
token_0_dim_86,Dimension 86,0.002992311492562294
token_0_dim_87,Dimension 87,0.11918554455041885
token_0_dim_88,Dimension 88,-0.08194538205862045
token_0_dim_89,Dimension 89,0.06798455119132996
token_0_dim_90,Dimension 90,-0.009091431275010109
token_0_dim_91,Dimension 91,-0.1866983026266098
token_0_dim_92,Dimension 92,-0.04941122233867645
token_0_dim_93,Dimension 93,0.1462685465812683
token_0_dim_94,Dimension 94,0.11270464211702347
token_0_dim_95,Dimension 95,-0.03917768970131874
token_0_dim_96,Dimension 96,-0.13638822734355927
token_0_dim_97,Dimension 97,0.12374251335859299
token_0_dim_98,Dimension 98,-0.05548648536205292
token_0_dim_99,Dimension 99,0.03651491552591324
token_0_dim_100,Dimension 100,0.044059883803129196
token_0_dim_101,Dimension 101,-0.0338514968752861
token_0_dim_102,Dimension 102,0.06835325807332993
token_0_dim_103,Dimension 103,0.06096219643950462
token_0_dim_104,Dimension 104,-0.11961375176906586
