step,description,value
token_0,Token: <s>,Contribution to sum
token_0_dim_0,Dimension 0,-0.0036865361034870148
token_0_dim_1,Dimension 1,0.047735631465911865
token_0_dim_2,Dimension 2,-0.37988829612731934
token_0_dim_3,Dimension 3,0.024838607758283615
token_0_dim_4,Dimension 4,0.15012246370315552
token_0_dim_5,Dimension 5,-0.06432323902845383
token_0_dim_6,Dimension 6,0.09014704078435898
token_0_dim_7,Dimension 7,0.06431756913661957
token_0_dim_8,Dimension 8,0.0680088996887207
token_0_dim_9,Dimension 9,-0.0818825215101242
token_0_dim_10,Dimension 10,0.09569224715232849
token_0_dim_11,Dimension 11,0.022493138909339905
token_0_dim_12,Dimension 12,0.19912433624267578
token_0_dim_13,Dimension 13,-0.10517548024654388
token_0_dim_14,Dimension 14,-0.019830167293548584
token_0_dim_15,Dimension 15,-0.4622040390968323
token_0_dim_16,Dimension 16,0.1559477150440216
token_0_dim_17,Dimension 17,0.6083869338035583
token_0_dim_18,Dimension 18,-0.05636785551905632
token_0_dim_19,Dimension 19,0.0014840229414403439
token_0_dim_20,Dimension 20,0.04597984254360199
token_0_dim_21,Dimension 21,-0.04594291374087334
token_0_dim_22,Dimension 22,0.011805578134953976
token_0_dim_23,Dimension 23,-0.06489819288253784
token_0_dim_24,Dimension 24,-0.047462254762649536
token_0_dim_25,Dimension 25,0.3746073544025421
token_0_dim_26,Dimension 26,0.014640502631664276
token_0_dim_27,Dimension 27,0.02369127981364727
token_0_dim_28,Dimension 28,-0.23051901161670685
token_0_dim_29,Dimension 29,0.061410076916217804
token_0_dim_30,Dimension 30,0.06140530854463577
token_0_dim_31,Dimension 31,-0.04009382799267769
token_0_dim_32,Dimension 32,0.05756036192178726
token_0_dim_33,Dimension 33,0.05496245622634888
token_0_dim_34,Dimension 34,0.16211579740047455
token_0_dim_35,Dimension 35,-0.1620432287454605
token_0_dim_36,Dimension 36,-0.09284853935241699
token_0_dim_37,Dimension 37,0.002114485949277878
token_0_dim_38,Dimension 38,0.0008867494761943817
token_0_dim_39,Dimension 39,0.12217018008232117
token_0_dim_40,Dimension 40,-0.3545326292514801
token_0_dim_41,Dimension 41,0.31093302369117737
token_0_dim_42,Dimension 42,0.03532303124666214
token_0_dim_43,Dimension 43,-0.10689001530408859
token_0_dim_44,Dimension 44,-0.028945352882146835
token_0_dim_45,Dimension 45,0.06486496329307556
token_0_dim_46,Dimension 46,-0.07717312127351761
token_0_dim_47,Dimension 47,0.043551135808229446
token_0_dim_48,Dimension 48,0.003825537860393524
token_0_dim_49,Dimension 49,-0.04803062975406647
token_0_dim_50,Dimension 50,0.11542929708957672
token_0_dim_51,Dimension 51,0.14799119532108307
token_0_dim_52,Dimension 52,0.16429656744003296
token_0_dim_53,Dimension 53,-0.23560598492622375
token_0_dim_54,Dimension 54,0.05909991264343262
token_0_dim_55,Dimension 55,0.044774893671274185
token_0_dim_56,Dimension 56,0.445350706577301
token_0_dim_57,Dimension 57,0.3241542875766754
token_0_dim_58,Dimension 58,0.0615716427564621
token_0_dim_59,Dimension 59,-0.13612638413906097
token_0_dim_60,Dimension 60,0.031379640102386475
token_0_dim_61,Dimension 61,-0.39525488018989563
token_0_dim_62,Dimension 62,0.25202488899230957
token_0_dim_63,Dimension 63,-0.058704961091279984
token_0_dim_64,Dimension 64,0.11585746705532074
token_0_dim_65,Dimension 65,-0.050838127732276917
token_0_dim_66,Dimension 66,0.019462592899799347
token_0_dim_67,Dimension 67,-0.0016552209854125977
token_0_dim_68,Dimension 68,0.060408659279346466
token_0_dim_69,Dimension 69,0.05817174166440964
token_0_dim_70,Dimension 70,-0.06658908724784851
token_0_dim_71,Dimension 71,0.030208144336938858
token_0_dim_72,Dimension 72,-0.1826501190662384
token_0_dim_73,Dimension 73,0.006317745894193649
token_0_dim_74,Dimension 74,0.07622949779033661
token_0_dim_75,Dimension 75,0.24746114015579224
token_0_dim_76,Dimension 76,0.2168770581483841
token_0_dim_77,Dimension 77,-0.0573028028011322
token_0_dim_78,Dimension 78,-0.4840349555015564
token_0_dim_79,Dimension 79,0.08787540346384048
token_0_dim_80,Dimension 80,-0.19355705380439758
token_0_dim_81,Dimension 81,0.20796731114387512
token_0_dim_82,Dimension 82,0.03361791372299194
token_0_dim_83,Dimension 83,-0.019131813198328018
token_0_dim_84,Dimension 84,-0.059996575117111206
token_0_dim_85,Dimension 85,-0.2618156969547272
token_0_dim_86,Dimension 86,0.03259485214948654
token_0_dim_87,Dimension 87,0.04742763936519623
token_0_dim_88,Dimension 88,-0.07032351195812225
token_0_dim_89,Dimension 89,-0.03045876882970333
token_0_dim_90,Dimension 90,0.04785698652267456
token_0_dim_91,Dimension 91,0.005134583450853825
token_0_dim_92,Dimension 92,0.06478733569383621
token_0_dim_93,Dimension 93,-0.12408417463302612
token_0_dim_94,Dimension 94,0.04125545546412468
token_0_dim_95,Dimension 95,0.04377131909132004
token_0_dim_96,Dimension 96,0.22320768237113953
token_0_dim_97,Dimension 97,-0.17320498824119568
token_0_dim_98,Dimension 98,0.010903146117925644
token_0_dim_99,Dimension 99,0.1356273740530014
token_0_dim_100,Dimension 100,-0.03508290275931358
token_0_dim_101,Dimension 101,-0.08805208653211594
token_0_dim_102,Dimension 102,0.005792398937046528
